Transect,Treatment,Date,Start time,Grasshopper sex,Grasshopper ID,Grasshopper source,Temp,Grasshopper wt (g),Lupine source,0h leaf wt (g),2h leaf wt (g),Fresh 8h leaf wt (g),8h leaf wt (g),Notes,2h % change,8h % change,Total,Treatment_sensible
PA,8,8/29/18,8:00am,Male,1791-14,High,32,0.2694,Low,0.4271,,,0.2892,,,,0.1379,GH-LL-TH
PA,6,8/30/18,7am,Male,1791-19,High,32,0.135,High,0.2246,,,0.1159,,,,0.1087,GH-LH-TH
PA,1,8/30/18,7am,Female,1490-22,Low,25,0.4123,Low,0.6046,,,0.5137,,,,0.0909,GL-LL-TL
PA,6,8/30/18,7am,Female,1791-30,High,32,0.3521,High,0.1904,,,0.1125,,,,0.0779,GH-LH-TH
PA,7,8/30/18,7am,Female,1791-21,High,25,0.3468,Low,0.2569,,,0.0747,,,,0.1822,GH-LL-TL
PA,2,8/30/18,7am,Female,1490-21,Low,32,0.3334,Low,0.6504,,,0.62,,,,0.0304,GL-LL-TH
PA,7,8/30/18,7am,Male,1791-14,High,25,0.2694,Low,0.4629,,,0.36,,,,0.1029,GH-LL-TL
PA,6,8/30/18,7am,Female,1791-10,High,32,0.22,High,0.6231,,,0.4931,,,,0.13,GH-LH-TH
PA,2,8/30/18,7am,Female,1490-10,Low,32,0.3844,Low,0.4108,,,0.2873,,,,0.1235,GL-LL-TH
PA,6,8/30/18,7am,Female,1791-8,High,32,0.226,High,0.2283,,,0,,,,0.2283,GH-LH-TH
PA,4,8/30/18,7am,Female,1490-17,Low,32,0.5601,High,0.5046,,,0.4183,,,,0.0863,GL-LH-TH
PA,7,8/30/18,7am,Male,1791-11,High,25,0.1905,Low,0.4895,,,0.3318,,,,0.1577,GH-LL-TL
PA,5,8/30/18,7am,Female,1791-15,High,25,0.2792,High,0.4623,,,0.3527,,,,0.1096,GH-LH-TL
PA,3,8/30/18,7am,Female,1490-28,Low,25,0.414,High,0.4909,,,0.3278,,,,0.1631,GL-LH-TL
PA,5,8/30/18,7am,Female,1791-1,High,25,0.3111,High,0.4806,,,0.3201,,,,0.1605,GH-LH-TL
PA,1,8/30/18,7am,Female,1490-14,Low,25,0.4893,Low,0.2875,,,0.2034,,,,0.0841,GL-LL-TL
PA,7,8/30/18,7am,Female,1791-16,High,25,0.3856,Low,0.3637,,,0.2409,,,,0.1228,GH-LL-TL
PA,7,8/30/18,7am,Female,1791-4,High,25,0.3216,Low,0.3361,,,0.2503,,,,0.0858,GH-LL-TL
PA,5,8/30/18,7am,Male,1791-27,High,25,0.1506,High,0.5173,,,0.419,,,,0.0983,GH-LH-TL
PA,1,8/30/18,7am,Female,1490-20,Low,25,0.3522,Low,0.229,,,0.2,,,,0.029,GL-LL-TL
PA,3,8/30/18,7am,Female,1490-9,Low,25,0.5044,High,0.3331,,,0.2309,,,,0.1022,GL-LH-TL
PA,2,8/30/18,7am,Female,1490-4,Low,32,0.2688,Low,0.4717,,,0.2636,,,,0.2081,GL-LL-TH
PA,4,8/30/18,7am,Female,1490-16,Low,32,0.4349,High,1.0323,,,0.7925,,,,0.2398,GL-LH-TH
PA,4,8/30/18,7am,Female,1490-5,Low,32,0.2479,High,0.3424,,,0.0954,,,,0.247,GL-LH-TH
PA,8,8/30/18,7am,Female,1791-25,High,32,0.3588,Low,0.5563,,,0.4402,,,,0.1161,GH-LL-TH
PA,5,8/30/18,7am,Female,1791-2,High,25,0.3056,High,0.7291,,,0.5237,,,,0.2054,GH-LH-TL
PA,8,8/30/18,7am,Male,1791-12,High,32,0.126,Low,0.5362,,,0.4894,,,,0.0468,GH-LL-TH
PA,6,8/30/18,7am,Female,1791-9,High,32,0.3677,High,0.3135,,,0.2727,,,,0.0408,GH-LH-TH
PA,6,8/30/18,7am,Male,1791-26,High,32,0.1513,High,0.3584,,,0.2863,,,,0.0721,GH-LH-TH
