Transect,Treatment,Date,Start time,Grasshopper sex,Grasshopper ID,Grasshopper source,Temp,Grasshopper wt (g),Lupine source,0h leaf wt (g),2h leaf wt (g),Fresh 8h leaf wt (g),8h leaf wt (g),Notes,2h % change,8h % change,Total,Treatment_sensible
PA,5,8/27/17,8am,Female,1791-6,High,25,0.3866,High,0.441,0.3989,,0.3192,,9.546485261,27.61904762,0.1218,GH-LH-TL
PA,3,8/27/17,8am,Female,1490-5,Low,25,0.4452,High,0.6778,0.6155,,0.5435,,9.191501918,19.81410446,0.1343,GL-LH-TL
PA,7,8/27/17,8am,Male,1791-4,High,25,0.1695,Low,0.4389,0.4237,,0.4048,,3.463203463,7.769423559,0.0341,GH-LL-TL
PA,5,8/27/17,8am,Female,1791-1,High,25,0.5207,High,0.7713,0.7504,,0.7337,,2.709710878,4.874886555,0.0376,GH-LH-TL
PA,1,8/27/17,8am,Female,1490-21,Low,25,0.5307,Low,0.6275,0.5706,,0.4807,,9.067729084,23.39442231,0.1468,GL-LL-TL
PA,7,8/27/17,8am,Female,1791-24,High,25,0.2839,Low,0.5372,0.4234,,0.3187,,21.1839166,40.67386448,0.2185,GH-LL-TL
PA,1,8/27/17,8am,Female,1490-22,Low,25,0.4432,Low,0.47,0.3892,,0.3496,,17.19148936,25.61702128,0.1204,GL-LL-TL
PA,1,8/27/17,8am,Male,1490-12,Low,25,0.1568,Low,0.4208,0.4067,,0.3807,,3.350760456,9.529467681,0.0401,GL-LL-TL
PA,5,8/27/17,8am,Male,1791-7,High,25,0.1629,High,0.6694,0.6521,,0.6416,,2.584403944,4.152972811,0.0278,GH-LH-TL
PA,4,8/27/17,8am,Male,1490-23,Low,32,0.1853,High,0.5365,0.5049,,0.4657,,5.890027959,13.19664492,0.0708,GL-LH-TH
PA,6,8/27/17,8am,Female,1791-21,High,32,0.2601,High,0.4935,0.4096,,0.2701,,17.00101317,45.26849037,0.2234,GH-LH-TH
PA,8,8/27/17,8am,Male,1791-9,High,32,0.1677,Low,0.7262,0.6893,,0.6337,,5.081244836,12.73753787,0.0925,GH-LL-TH
PA,4,8/27/17,8am,Female,1490-3,Low,32,0.4774,High,0.7233,0.685,,0.6159,,5.295174893,14.84861054,0.1074,GL-LH-TH
PA,4,8/27/17,8am,Male,1490-8,Low,32,0.144,High,0.464,0.4539,,0.4177,,2.176724138,9.978448276,0.0463,GL-LH-TH
PA,6,8/27/17,8am,Male,1791-17,High,32,0.1706,High,0.3858,0.3612,,0.3104,,6.376360809,19.54380508,0.0754,GH-LH-TH
PA,4,8/27/17,8am,Female,1490-7,Low,32,0.4513,High,0.7527,0.6537,,0.5891,,13.15265046,21.73508702,0.1636,GL-LH-TH
PA,6,8/27/17,8am,Female,1791-14,High,32,0.4679,High,0.8297,0.7788,,0.7142,,6.134747499,13.92069423,0.1155,GH-LH-TH
PA,2,8/27/17,8am,Female,1490-1,Low,32,0.5566,Low,0.4347,0.348,,0.1819,,19.94478951,58.15504946,0.2528,GL-LL-TH
PA,8,8/27/17,8am,Female,1791-10,High,32,0.4645,Low,0.784,0.7341,,0.7347,,6.364795918,6.288265306,0.0493,GH-LL-TH
PA,2,8/27/17,8am,Female,1490-20,Low,32,0.2575,Low,0.7112,0.6597,,0.5512,,7.24128234,22.49718785,0.16,GL-LL-TH
PA,2,8/27/17,8am,Male,1490-11,Low,32,0.1934,Low,0.4779,0.4543,,0.4313,,4.938271605,9.750993932,0.0466,GL-LL-TH
PA,8,8/27/17,8am,Female,1791-22,High,32,0.3215,Low,0.6492,0.5551,,0.3917,,14.49476278,39.66420209,0.2575,GH-LL-TH
GB,5,8/17/18,9am,Female,2020-1,High,25,0.3831,High,0.7153,,,0.6568,,,,0.0585,GH-LH-TL
GB,6,8/17/18,9am,Male,2020-2,High,32,0.2756,High,1.0391,,,0.873,,,,0.1661,GH-LH-TH
GB,7,8/17/18,9am,Male,2020-3,High,25,0.2523,Low,0.541,,,0.4114,,,,0.1296,GH-LL-TL
GB,8,8/17/18,9am,Male,2020-4,High,32,0.1519,Low,0.5045,,,0.4308,,,,0.0737,GH-LL-TH
GB,1,8/17/18,9am,Male,1740-1,Low,25,0.1192,Low,0.6958,,,0.6093,,,,0.0865,GL-LL-TL
GB,2,8/17/18,9am,Female,1740-2,Low,32,0.3778,Low,0.4706,,,0.3429,,,,0.1277,GL-LL-TH
GB,3,8/17/18,9am,Male,1740-3,Low,25,0.2147,High,0.55,,,0.4054,,,,0.1446,GL-LH-TL
GB,4,8/17/18,9am,Female,1740-4,Low,32,0.3081,High,0.4973,,,0.2905,,,,0.2068,GL-LH-TH
GB,5,8/17/18,9am,Male,2020-5,High,25,0.126,High,0.3555,,,0.3202,,,,0.0353,GH-LH-TL
GB,6,8/17/18,9am,Female,2020-6,High,32,0.1731,High,0.6702,,,0.5817,,,,0.0885,GH-LH-TH
GB,7,8/17/18,9am,Female,2020-7,High,25,0.3583,Low,0.6686,,,0.4746,,,,0.194,GH-LL-TL
GB,8,8/17/18,9am,Male,2020-8,High,32,0.1488,Low,0.3013,,,0.2235,,,,0.0778,GH-LL-TH
GB,1,8/17/18,9am,Male,1740-5,Low,25,0.1298,Low,0.3711,,,0.3192,,,,0.0519,GL-LL-TL
GB,2,8/17/18,9am,Female,1740-6,Low,32,0.1779,Low,0.4736,,,0.2173,,,,0.2563,GL-LL-TH
GB,3,8/17/18,9am,Male,1740-7,Low,25,0.1234,High,0.6796,,,0.658,,,,0.0216,GL-LH-TL
GB,5,8/17/18,9am,Female,2020-9,High,25,0.2743,High,NA,,,NA,Data not taken,NA,,NA,GH-LH-TL
GB,6,8/17/18,9am,Male,2020-10,High,32,0.1427,High,0.2643,,,0.1896,,,,0.0747,GH-LH-TH
GB,7,8/17/18,9am,Male,2020-11,High,25,0.1406,Low,0.8114,,,0.643,,,,0.1684,GH-LL-TL
GB,8,8/17/18,9am,Male,2020-12,High,32,0.1248,Low,0.7911,,,0.7385,,,,0.0526,GH-LL-TH
GB,1,8/17/18,9am,Male,1740-9,Low,25,0.142,Low,1.0438,,,0.9285,,,,0.1153,GL-LL-TL
GB,2,8/17/18,9am,Female,1740-10,Low,32,0.2318,Low,0.2485,,,0.2457,,,,0.0028,GL-LL-TH
GB,3,8/17/18,9am,Male,1740-11,Low,25,0.1023,High,0.555,,,0.4639,,,,0.0911,GL-LH-TL
GB,4,8/17/18,9am,Female,1740-12,Low,32,0.185,High,0.7616,,,0.6782,,,,0.0834,GL-LH-TH
GB,5,8/17/18,9am,Male,2020-13,High,25,0.1086,High,NA,,,NA,Died in chamber,,,NA,GH-LH-TL
GB,6,8/17/18,9am,Male,2020-14,High,32,0.1599,High,0.6903,,,0.6291,,,,0.0612,GH-LH-TH
GB,7,8/17/18,9am,Female,2020-15,High,25,0.2868,Low,0.9667,,,0.8618,,,,0.1049,GH-LL-TL
GB,8,8/17/18,9am,Female,2020-16,High,32,0.3082,Low,0.4267,,,0.1233,,,,0.3034,GH-LL-TH
GB,1,8/17/18,9am,Female,1740-13,Low,25,0.1631,Low,0.3709,,,0.2223,,,,0.1486,GL-LL-TL
GB,2,8/17/18,9am,Female,1740-14,Low,32,0.4005,Low,0.2659,,,0.0486,,,,0.2173,GL-LL-TH
GB,3,8/17/18,9am,Male,1740-15,Low,25,0.0941,High,NA,,,NA,Died in chamber,,,NA,GL-LH-TL
GB,4,8/17/18,9am,Female,1740-16,Low,32,0.1593,High,0.6379,,,0.4171,,,,0.2208,GL-LH-TH
GB,5,8/17/18,9am,Male,2020-17,High,25,0.1312,High,0.7035,,,0.6667,,,,0.0368,GH-LH-TL
GB,6,8/17/18,9am,Female,2020-18,High,32,0.2933,High,0.5011,,,0.4233,,,,0.0778,GH-LH-TH
GB,7,8/17/18,9am,Male,2020-19,High,25,0.1477,Low,0.3832,,,0.3242,,,,0.059,GH-LL-TL
GB,8,8/17/18,9am,Female,2020-20,High,32,0.2085,Low,0.604,,,0.311,,,,0.293,GH-LL-TH
GB,1,8/17/18,9am,Male,1740-17,Low,25,0.1538,Low,0.3155,,,0.2308,,,,0.0847,GL-LL-TL
GB,2,8/17/18,9am,Male,1740-18,Low,32,0.0804,Low,0.5779,,,0.489,,,,0.0889,GL-LL-TH
GB,3,8/17/18,9am,Female,1740-19,Low,25,0.3806,High,0.5901,,,0.5521,,,,0.038,GL-LH-TL
GB,4,8/17/18,9am,Female,1740-20,Low,32,0.3653,High,0.3107,,,0.2448,,,,0.0659,GL-LH-TH
GB,5,8/17/18,9am,Male,2020-21,High,25,0.1218,High,0.4015,,,0.3728,,,,0.0287,GH-LH-TL
GB,6,8/17/18,9am,Female,2020-22,High,32,0.26,High,0.3661,,,0.1537,,,,0.2124,GH-LH-TH
GB,8,8/17/18,9am,Female,2020-24,High,32,0.2972,Low,0.3199,,,0.2076,,,,0.1123,GH-LL-TH
GB,1,8/17/18,9am,Male,1740-21,Low,25,0.1348,Low,0.3325,,,0.2584,,,,0.0741,GL-LL-TL
GB,2,8/17/18,9am,Male,1740-22,Low,32,0.1395,Low,0.5781,,,0.5125,,,,0.0656,GL-LL-TH
GB,3,8/17/18,9am,Female,1740-23,Low,25,0.39,High,0.5694,,,0.4525,,,,0.1169,GL-LH-TL
GB,4,8/17/18,9am,Female,1740-24,Low,32,0.3015,High,0.7522,,,0.5903,,,,0.1619,GL-LH-TH
GB,5,8/17/18,9am,Male,2020-25,High,25,0.1365,High,0.5788,,,0.5339,,,,0.0449,GH-LH-TL
GB,6,8/17/18,9am,Female,2020-26,High,32,0.287,High,0.8103,,,0.5201,,,,0.2902,GH-LH-TH
GB,7,8/17/18,9am,Male,2020-27,High,25,0.12,Low,0.4706,,,0.382,,,,0.0886,GH-LL-TL
GB,8,8/17/18,9am,Female,2020-28,High,32,0.2727,Low,0.7765,,,0.6099,,,,0.1666,GH-LL-TH
GB,1,8/17/18,9am,Male,1740-25,Low,25,0.1469,Low,0.2757,,,0.2326,,,,0.0431,GL-LL-TL
GB,2,8/17/18,9am,Female,1740-26,Low,32,0.2996,Low,0.3953,,,0.2017,,,,0.1936,GL-LL-TH
GB,3,8/17/18,9am,Male,1740-27,Low,25,0.1225,High,0.541,,,0.4862,,,,0.0548,GL-LH-TL
GB,4,8/17/18,9am,Female,1740-28,Low,32,0.1255,High,0.4641,,,0.2714,,,,0.1927,GL-LH-TH
GB,5,8/17/18,9am,Female,2020-29,High,25,0.2853,High,0.8095,,,0.7215,,,,0.088,GH-LH-TL
GB,6,8/17/18,9am,Female,2020-30,High,32,0.282,High,0.6808,,,0.523,,,,0.1578,GH-LH-TH
GB,4,8/17/18,9am,Male,1740-29,Low,32,0.0955,High,0.4889,,,0.4259,,,,0.063,GL-LH-TH
GB,3,8/18/18,8:15am,Male,1740-18,Low,25,0.0804,High,0.6276,,,0.5865,,,,0.0411,GL-LH-TL
GB,3,8/18/18,8:15am,Male,1740-29,Low,25,0.0955,High,0.4001,,,0.372,,,,0.0281,GL-LH-TL
GB,3,8/18/18,8:15am,Female,1740-20,Low,25,0.3653,High,0.407,,,0.3197,,,,0.0873,GL-LH-TL
GB,5,8/18/18,8:15am,Female,2020-6,High,25,0.1731,High,0.824,,,0.6788,,,,0.1452,GH-LH-TL
