Data.enterer,Envelope.ID,Species,Elevation,Plot_ID,Leaves,Fresh_wt,Dry_wt,Notes.mass,Notes.area,Area_tot,n_leaves,LMA_g.cm2,LL_months_guess,LMA_g.m2,log.LMA,log.LL
BS,LUPARC-1791-3-3,LUPARC,1791,3,3,0.846,0.1583,,NA,26.351,1,0.006007362,2.3,60.07362149,1.778683814,0.361727836
BS,LUPARC-1791-4-1,LUPARC,1791,4,1,0.598,0.1009,,NA,21.785,1,0.004631627,2.3,46.31627266,1.665733602,0.361727836
KN,LUPARC-1791-4-2,LUPARC,1791,4,2,0.555,0.099,,NA,18.134,1,0.005459358,2.3,54.59358112,1.737141583,0.361727836
KN,LUPARC-1791-4-3,LUPARC,1791,4,3,0.632,0.097,,NA,21.003,1,0.004618388,2.3,46.18387849,1.664490402,0.361727836
KN,LUPARC-1791-5-1,LUPARC,1791,5,1,0.362,0.067,,NA,15.787,1,0.004243998,2.3,42.43998226,1.627775194,0.361727836
KN,LUPARC-1791-5-2,LUPARC,1791,5,2,0.413,0.071,,NA,15.914,1,0.00446148,2.3,44.61480457,1.649478995,0.361727836
KN,LUPARC-1791-5-3,LUPARC,1791,5,3,0.566,0.098,,NA,23.606,1,0.004151487,2.3,41.5148691,1.618203673,0.361727836
KN,LUPARC-1901-1-1,LUPARC,1901,1,1,0.469,0.091,,NA,20.156,1,0.004514785,1.8,45.14784679,1.654637043,0.255272505
KN,LUPARC-1901-1-2,LUPARC,1901,1,2,0.28,0.053,,NA,13.286,1,0.003989162,1.8,39.89161523,1.600881621,0.255272505
BS,LUPARC-1901-1-3,LUPARC,1901,1,3,0.292,0.0587,,NA,12.028,1,0.004880279,1.8,48.80279348,1.688444682,0.255272505
BS,LUPARC-1901-2-1,LUPARC,1901,2,1,0.39,0.0797,,NA,10.939,1,0.007285858,1.8,72.85857939,1.862480699,0.255272505
BS,LUPARC-1901-2-2,LUPARC,1901,2,2,0.309,0.0557,,NA,12.342,1,0.004513045,1.8,45.13044887,1.654469653,0.255272505
KN,LUPARC-1901-2-3,LUPARC,1901,2,3,0.244,0.047,,NA,10.005,1,0.004697651,1.8,46.97651174,1.671880765,0.255272505
KN,LUPARC-1901-3-1,LUPARC,1901,3,1,0.345,0.069,,NA,16.327,1,0.004226128,1.8,42.26128499,1.625942698,0.255272505
KN,LUPARC-1901-3-2,LUPARC,1901,3,2,0.249,0.059,,NA,12.786,1,0.004614422,1.8,46.14422024,1.664117312,0.255272505
KN,LUPARC-1901-3-3,LUPARC,1901,3,3,0.269,0.066,,NA,12.031,1,0.005485828,1.8,54.85828277,1.739242209,0.255272505
KN,LUPARC-1901-6-1,LUPARC,1901,6,1,0.42,0.079,,NA,16.961,1,0.004657744,1.8,46.57744237,1.668175637,0.255272505
BS,LUPARC-1901-6-2,LUPARC,1901,6,2,0.534,0.0988,,NA,18.266,1,0.005408957,1.8,54.08956531,1.733113491,0.255272505
BS,LUPARC-1901-6-3,LUPARC,1901,6,3,0.282,0.0543,,NA,11.609,1,0.004677405,1.8,46.77405461,1.670005018,0.255272505
